 1: "Power",
            2: "Food Production",
            3: "Lumber Production",
            4: "Stone Production",
            5: "Gold Production",
            6: "Food storage capacity",
            7: "Lumber storage capacity",
            8: "Stone storage capacity",
            9: "Gold storage capacity",
            10: "VIP point",
            11: "Troop dispatch queue",
            12: "Marching troop capacity",
            13: "Troop Limit",
            14: "Research Speed",
            15: "Resource protection",
            16: "Scout Level",
            17: "Additional building queue",
            18: "Scout limit",
            19: "Maximum troop size for Rally",
            20: "Maximum reinforcement troop size",
            21: "Food Protection capacity",
            22: "Lumber Protection capacity",
            23: "Stone Protection capacity",
            24: "Gold Protection capacity",
            25: "Treasure slot",
            26: "Wall Durability",
            27: "Wall Attack buff",
            28: "Wall Defense buff",
            29: "Hospital Capacity",
            30: "Healing Speed",
            31: "Mortality reduction",
            32: "Alliance help Count",
            33: "Alliance help Speedup",
            34: "Alliance size",
            35: "Gathering Speed",
            36: "Construction Speed",
            37: "Food Gathering Speed",
            38: "Lumber Gathering Speed",
            39: "Stone Gathering Speed",
            40: "Gold Gathering Speed",
            41: "Crystal Gathering Speed",
            42: "Caravan Stocks",
            43: "Caravan Visit Interval",
            44: "Food",
            45: "Lumber",
            46: "Stone",
            47: "Gold",
            48: "Crystal",
            49: "Speedup",
            50: "Infantry HP",
            51: "Archery HP",
            52: "Cavalry HP",
            53: "Infantry Defense",
            54: "Archery Defense",
            55: "Cavalry Defense",
            56: "Infantry Attack",
            57: "Archery Attack",
            58: "Cavalry Attack",
            59: "Infantry Speed",
            60: "Archery Speed",
            61: "Cavalry Speed",
            62: "Infantry Load",
            63: "Archery Load",
            64: "Cavalry Load",
            65: "Troops HP",
            66: "Troops Defense",
            67: "Troops Attack",
            68: "Troops Speed",
            69: "Troops Load",
            70: "T2 Infantry Unlock",
            71: "T2 Archery Unlock",
            72: "T2 Cavalry Unlock",
            73: "T3 Infantry Unlock",
            74: "T3 Archery Unlock",
            75: "T3 Cavalry Unlock",
            76: "T4 Infantry Unlock",
            77: "T4 Archery Unlock",
            78: "T4 Cavalry Unlock",
            79: "T5 Infantry Unlock",
            80: "T5 Archery Unlock",
            81: "T5 Cavalry Unlock",
            82: "Troops Training Rate",
            83: "Troops Training Speed",
            84: "Troops Training Cost",
            85: "Random Teleport",
            86: "Advanced Teleport",
            87: "Defense mortality reduction bonus",
            88: "Infantry Training Rate",
            89: "Archery Training Rate",
            90: "Cavalry Training Rate",
            91: "Infantry Training Speed",
            92: "Archery Training Speed",
            93: "Cavalry Training Speed",
            94: "Infantry Training Cost",
            95: "Archery Training Cost",
            96: "Cavalry Training Cost",
            97: "Construction speed",
            98: "Research speed",
            99: "Training speed",
            100: "Action point",
            101: "Action point regeneration",
            102: "Healing speed",
            103: "Teleport",
            104: "Teleport 2",
